Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3
1,blue,OG,6.938,13:38,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,,,6.187,10:51,10:13:48,0.1432514,,,,2b1,,,,,,,,,,,,,,,,,
2,blue,Ferris,11.175,13:39,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:13:15,0.29411,9.967,,10:16:22,0.170235,,,,2b2,,,,,,,,,,,,,,,,,
3,blue,Ferris,6.719,13:39,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:14:47,0.1052925,6.118,,10:18:10,0.1076286,,,,2b3,,,,,,,,,,,,,,,,,
4,blue,Ferris,10.719,13:40,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:16:43,1.344538,9.539,,10:19:38,1.38739,,,,2b4,,,,,,,,,,,,,,,,,
5,blue,OG,3.848,13:41,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:18:41,0.1492267,3.479,,10:21:23,0.1182286,,,RT,2b5,2017-10-20,56,A2,fly,15,2,13:03,,,,,,,,,,
6,blue,OG,7.576,13:37,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:20:19,1.420216,6.824,,10:22:55,1.468912,,,,2b6,,,,,,,,,,,,,,,,,
7,blue,OG,6.413,13:35,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:22:07,0.1365561,5.738,,10:24:36,0.1601623,,,,2b7,,,,,,,,,,,,,,,,,
8,blue,OG,9.365,13:57,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:23:42,1.308291,8.401,,10:25:57,1.432883,,,RT,2b8,2017-09-26,32,A3,fly,30,2,16:08,2017-10-05,12:45,,,,,,,,
9,blue,Ferris,7.978,13:41,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:25:39,0.1591373,7.323,,10:27:35,8.09E-02,,,,2b9,,,,,,,,,,,,,,,,,
10,blue,OG,4.895,13:36,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:27:14,0.1027624,4.349,,10:28:53,6.42E-02,,,,2b10,,,,,,,,,,,,,,,,,
11,blue,Ferris,6.482,13:47,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:28:45,1.20172,5.91,,10:30:09,1.245373,,,,2b11,,,,,,,,,,,,,,,,,
12,blue,OG,9.505,13:34,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:30:30,0.757944,3.554,,10:31:42,0.0299408,,"looks unhealthy, large weight decrease",,2b12,,,,,,,,,,,,,,,,,
13,blue,Ferris,9.778,13:48,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:32:10,0.1368973,8.921,,10:32:53,7.48E-02,,,,2b13,,,,,,,,,,,,,,,,,
14,blue,OG,8.299,13:33,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:33:40,0.1880669,7.637,,10:34:13,0.1269034,,,,2b14,,,,,,,,,,,,,,,,,
15,blue,OG,6.244,13:35,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:35:22,1.502617,4.44,,10:35:27,0.4466424,,"looks unhealthy, large weight decrease",,2b15,,,,,,,,,,,,,,,,,
16,blue,Ferris,7.365,13:48,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:37:13,0.2178388,6.751,,10:36:50,0.1190253,,,RT,2b16,,,,,,,,,,changed water 2017-10-20 18:08,,,,,,,
17,blue,OG,7.056,13:34,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:39:06,0.1248178,6.48,,10:38:09,6.77E-02,,,,2b17,,,,,,,,,,,,,,,,,
18,blue,OG,6.499,13:31,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:40:45,0.4268785,6.013,,10:39:32,1.019583,,,RT,2b18,2017-10-03,40,A6,fly,6,2,10:25,2017-10-12,20:18,,3,26,2017-10-12,,,,
19,blue,Ferris,6.197,13:49,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:42:26,0.1487401,5.648,,10:41:16,0.0745661,,,,2b19,,,,,,,,,,,,,,,,,
20,blue,OG,5.876,13:33,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:43:58,1.159581,5.381,,10:42:34,1.211225,,,RT,2b20,2017-09-26,32,A7,fly,18,2,16:08,2017-10-12,20:18,,3,6,2017-10-12,20:18,,,
21,blue,Ferris,11.818,13:50,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:45:43,0.3258733,10.711,,10:44:12,0.2775775,,,,2b21,,,,,,,,,,,,,,,,,
23,blue,OG,6.482,13:36,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:47:22,0.2104131,5.879,,10:45:36,9.85E-02,,,RT,2b23,2017-10-20,57,A8,fly,16,2,13:04,,,,,,2017-10-16,20:17,,,
24,blue,OG,9.277,13:37,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:48:50,1.635986,8.136,,10:47:14,1.557436,,,,2b24,,,,,,,,,,,,,,,,,
25,blue,Ferris,8.906,13:51,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:50:26,0.3594282,7.908,,10:49:15,8.96E-02,,,,2b25,,,,,,,,,,,,,,,,,
26,blue,OG,6.121,13:47,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:52:09,0.2026112,5.553,,10:51:07,9.04E-02,,,RT,2b26,2017-10-20,57,A9,fly,19,2,13:04,,,2017-10-21 checked tube 18:29 ; ,,,,,,,
27,blue,OG,9.073,13:46,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:53:43,0.1626993,8.336,,10:52:44,0.1716643,,,,2b27,,,,,,,,,,,,,,,,,
