Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,mass_day19,purge_time_3,resp_time_3,resp_day20,treatment_day15 ,exit_fridge_date,Eclosion_reference_date,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Entrainment_enter_date,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,Adult_death_date,Uncaused_death
1,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-1,,,,,,,,,,,,,,,,,,,,
2,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-2,,,,,,,,,,,,,,,,,,,,
3,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-3,,,,,,,,,,,,,,,,,,,,
4,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-4,,,,,,,,,,,,,,,,,,,,
5,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-5,,,,,,,,,,,,,,,,,,,,
6,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-6,,,,,,,,,,,,,,,,,,,,
7,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-7,,,,,,,,,,,,,,,,,,,,
8,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-8,,,,,,,,,,,,,,,,,,,,
9,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-9,,,,,,,,,,,,,,,,,,,,
10,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-10,,,,,,,,,,,,,,,,,,,,
11,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-11,,,,,,,,,,,,,,,,,,,,
12,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-12,,,,,,,,,,,,,,,,,,,,
13,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-13,,,,,,,,,,,,,,,,,,,,
14,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-14,,,,,,,,,,,,,,,,,,,,
15,,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-15,,,,,,,,,,,,,,,,,,,,
16,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-16,,,,,,,,,,,,,,,,,,,,
17,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-17,,,,,,,,,,,,,,,,,,,,
18,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-18,,,,,,,,,,,,,,,,,,,,
19,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-19,,,,,,,,,,,,,,,,,,,,
20,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-20,,,,,,,,,,,,,,,,,,,,
21,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-21,,,,,,,,,,,,,,,,,,,,
22,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-22,,,,,,,,,,,,,,,,,,,,
23,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-23,,,,,,,,,,,,,,,,,,,,
24,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-24,,,,,,,,,,,,,,,,,,,,
25,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-25,,,,,,,,,,,,,,,,,,,,
26,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-26,,,,,,,,,,,,,,,,,,,,
27,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-27,,,,,,,,,,,,,,,,,,,,
28,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-28,,,,,,,,,,,,,,,,,,,,
29,,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,,,,2018-09-05,,,,,GC,A6-29,,,,,,,,,,,,,,,,,,,,
