starttime_VCO2_6262_1,area_VCO2_6262_1,n,data_num,tape color,licor
10:41:44,0.1249017,1,64,orange,7000
10:42:55,0.1572884,2,65,orange,7000
10:44:29,0.9619741,3,66,orange,7000
10:45:55,0.7460406,4,67,orange,7000
10:47:13,0.1721163,5,68,orange,7000
10:48:19,7.12E-02,6,69,orange,7000
10:49:30,7.56E-02,7,70,orange,7000
10:50:42,0.9058465,8,71,orange,7000
10:52:05,0.4475683,9,72,orange,7000
10:53:26,0.1075695,10,73,orange,7000
10:54:41,6.58E-02,11,74,orange,7000
10:55:47,8.26E-02,12,75,orange,7000
10:56:51,0.7611279,13,76,orange,7000
10:58:11,9.91E-03,14,77,orange,7000
10:59:16,9.21E-03,15,78,orange,7000
10:41:44,0.121769,1,64,white,6262
10:42:55,2.568664,2,65,white,6262
10:44:29,1.202627,3,66,white,6262
10:45:55,0.1341395,4,67,white,6262
10:47:13,0.1075178,5,68,white,6262
10:48:19,0.1195403,6,69,white,6262
10:49:30,0.1773003,7,70,white,6262
10:50:42,0.201703,8,71,white,6262
10:52:05,0.152016,9,72,white,6262
10:53:26,0.1576007,10,73,white,6262
10:54:41,0.1118606,11,74,white,6262
10:55:47,0.1681222,12,75,white,6262
10:56:51,0.1179017,13,76,white,6262
10:58:11,1.54E-02,14,77,white,6262
10:59:16,0.0147821,15,78,white,6262
